region,sex,age,marst,educ,incwage
south atlantic division,female,52,"married, spouse present",4 years of college,35000
south atlantic division,male,63,"married, spouse present",grade 12,50000
south atlantic division,female,62,"married, spouse present",grade 12,0
south atlantic division,male,42,never married/single,grade 10,0
south atlantic division,male,28,never married/single,grade 12,36000
south atlantic division,female,32,"married, spouse present",grade 12,20000
south atlantic division,male,38,"married, spouse present",grade 12,20000
south atlantic division,male,58,"married, spouse present",1 year of college,0
south atlantic division,female,55,"married, spouse present",1 year of college,0
south atlantic division,female,52,"married, spouse present",5+ years of college,65000
south atlantic division,male,50,"married, spouse present",5+ years of college,75000
south atlantic division,female,54,never married/single,5+ years of college,72000
south atlantic division,male,61,divorced,2 years of college,0
south atlantic division,female,58,divorced,2 years of college,0
south atlantic division,male,39,never married/single,2 years of college,40000
south atlantic division,female,21,never married/single,1 year of college,12000
south atlantic division,female,62,"married, spouse present",grade 12,20000
south atlantic division,male,65,"married, spouse present",grade 12,50000
south atlantic division,male,54,"married, spouse present",4 years of college,40000
south atlantic division,female,59,"married, spouse present",4 years of college,78000
south atlantic division,female,25,never married/single,4 years of college,30000
south atlantic division,male,37,never married/single,grade 10,6800
south atlantic division,male,55,never married/single,4 years of college,5000
south atlantic division,female,55,never married/single,5+ years of college,58000
south atlantic division,female,32,never married/single,grade 12,10000
south atlantic division,female,62,never married/single,5+ years of college,18500
south atlantic division,female,20,never married/single,grade 12,19700
south atlantic division,female,21,never married/single,grade 12,12600
south atlantic division,male,58,"married, spouse present",5+ years of college,461000
south atlantic division,female,65,"married, spouse present",5+ years of college,0
south atlantic division,male,45,"married, spouse present",grade 12,22000
south atlantic division,female,40,"married, spouse present",2 years of college,32000
south atlantic division,female,65,"married, spouse present",1 year of college,0
south atlantic division,male,64,"married, spouse present",4 years of college,0
south atlantic division,male,56,never married/single,grade 12,0
south atlantic division,female,62,"married, spouse present",grade 12,18000
south atlantic division,female,61,"married, spouse present",grade 12,7000
south atlantic division,female,42,never married/single,grade 9,0
south atlantic division,female,29,never married/single,n/a or no schooling,9600
south atlantic division,female,44,divorced,grade 12,19800
south atlantic division,female,23,never married/single,grade 12,0
south atlantic division,male,65,never married/single,5+ years of college,0
south atlantic division,female,30,"married, spouse present",5+ years of college,44300
south atlantic division,male,33,"married, spouse present",4 years of college,40000
south atlantic division,female,29,separated,grade 12,10900
south atlantic division,female,65,widowed,1 year of college,0
south atlantic division,male,49,"married, spouse present",4 years of college,195000
south atlantic division,female,45,"married, spouse present",4 years of college,12000
south atlantic division,male,63,never married/single,5+ years of college,89000
south atlantic division,male,39,"married, spouse absent",n/a or no schooling,20000
south atlantic division,female,60,"married, spouse present",grade 12,24000
south atlantic division,female,52,divorced,2 years of college,0
south atlantic division,female,55,"married, spouse present",grade 12,0
south atlantic division,male,55,"married, spouse present",4 years of college,170000
south atlantic division,male,23,never married/single,grade 12,1800
south atlantic division,female,21,never married/single,grade 12,2000
south atlantic division,female,62,widowed,grade 12,0
south atlantic division,male,40,never married/single,grade 12,50000
south atlantic division,male,65,divorced,grade 12,0
south atlantic division,female,52,"married, spouse present",1 year of college,0
south atlantic division,male,50,"married, spouse present",2 years of college,23900
south atlantic division,male,33,never married/single,grade 12,0
south atlantic division,female,31,never married/single,grade 12,0
south atlantic division,male,40,"married, spouse present",5+ years of college,180000
south atlantic division,female,41,"married, spouse present",4 years of college,0
